,sum_duration_hrs,fips_code,counts_of_outage,average_sums,number_of_data_centers,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23",CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023_x,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023_y,Unemployed_2023,Unemployment_rate_2023,BIRTHS_2023,DEATHS_2023,DOMESTIC_MIG_2023,GQ_ESTIMATES_2023,INTERNATIONAL_MIG_2023,NATURAL_CHG_2023,NET_MIG_2023,N_POP_CHG_2023,POP_ESTIMATE_2023,RESIDUAL_2023,R_BIRTH_2023,R_DEATH_2023,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2023,R_NET_MIG_2023,Rural_Urban_Continuum_Code_2023,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,avg_durations_hrs,sum_duration_hrs,sums_sum,avg_power_usage,avg_carbon_emission
DOMESTIC_MIG_2023,-0.37983069,0.12944804,0.052359055,-0.352399075,-0.476529497,0.154511476,0.127605584,0.147852709,0.224640443,-0.795343845,-0.769519994,-0.755999247,-0.736273134,-0.8029241,-0.80290907,-0.830760731,-0.816472867,-0.792297319,-0.764751098,-0.749061845,-0.71826887,-0.799916395,-0.817754619,-0.840096357,-0.835898641,-0.806343651,-0.786945841,-0.137892063,-0.132470315,-0.125775656,-0.092814256,0.019858896,0.140053885,0.224643088,0.276267258,0.220438266,0.220147439,0.176835926,0.160745767,-0.035126773,-0.152074062,-0.190819194,-0.232129708,-0.137571972,-0.107756993,-0.116608244,-0.126397374,-0.05829274,0.1003421,0.131704519,0.06454083,-0.828472903,-0.823780943,-0.794488464,-0.760390713,-0.718097613,-0.676924098,-0.19124565,-0.703435258,,,-0.205563689,-0.708906936,-0.180673548,-0.758950162,-0.115188821,-0.06641325,-0.701230425,,,-0.074999878,-0.707573594,-0.083272845,-0.755025422,-0.06053431,-0.087973042,-0.120944285,,-0.131395542,-0.128363555,-0.702746142,,-0.708800122,-0.757075753,0.147852709,-0.727200012,-0.724961948,-0.08483341,0.147852709,-0.753561127,-0.165751096,-0.702983767,-0.699203468,1,-0.729542308,-0.700428302,-0.570253813,0.864654184,0.621588183,-0.725425349,0.288284721,-0.069773598,0.169994771,0.536972462,-0.363869551,-0.159429629,0.489862447,0.147852709,-0.065910257,-0.190884286,-0.237619633,-0.016200278,-0.573852948,-0.37983069,-0.341265272,0.079448717,0.042052473
NET_MIG_2023,-0.106005314,0.075209947,0.103189812,-0.307326427,-0.296911483,0.011854012,0.009018933,0.009908388,0.06380483,-0.535283869,-0.488364853,-0.462469304,-0.425080645,-0.593992622,-0.554378783,-0.655157586,-0.597377844,-0.551020824,-0.500964896,-0.455439206,-0.410682575,-0.627933289,-0.613682247,-0.619008202,-0.598337244,-0.555063581,-0.523908134,-0.048635202,-0.027263316,-0.036531318,0.003564127,0.073128738,0.129066556,0.149929397,0.149704365,0.073308709,0.065745106,0.045123492,0.031918097,-0.077329938,-0.149449526,-0.166270851,-0.188131541,-0.020888243,0.002988447,-0.008517618,-0.01082171,-0.081222417,0.021507145,0.078424875,0.003451399,-0.63583705,-0.592950639,-0.545631441,-0.490048079,-0.431938994,-0.376578483,-0.186673989,-0.424392788,,,-0.197000288,-0.437293179,-0.195125238,-0.470276491,0.007848641,-0.132250115,-0.411208168,,,-0.138056946,-0.422411917,-0.157070351,-0.461017685,0.027445287,0.017815415,-0.15774189,,-0.16541754,-0.176022059,-0.417598671,,-0.429614642,-0.465549986,0.009908388,-0.406327558,-0.40154574,0.014067381,0.009908388,-0.498149694,-0.196397666,-0.375418919,-0.404708848,0.864654184,-0.489780732,-0.247077111,-0.246139808,1,0.902318958,-0.409526914,0.323353106,-0.030516399,0.019490361,0.510117565,-0.030887372,-0.028951099,0.548553327,0.009908388,0.133752736,-0.18287865,-0.23881427,0.169337796,-0.40249215,-0.106005314,-0.227537354,0.040385212,0.030537008
2024 Urban Influence Code,-0.43881073,0.069267691,-0.326557877,-0.086684937,-0.252277855,0.778235382,0.778362973,0.777311512,1,-0.385808358,-0.411582616,-0.418280751,-0.428546028,-0.348468791,-0.369864558,-0.337374944,-0.369709103,-0.390521385,-0.399541455,-0.389570313,-0.381105905,-0.327632023,-0.324183881,-0.297021997,-0.282055595,-0.277117297,-0.278073379,-0.192825731,-0.27098542,-0.09293521,-0.147428027,-0.125185598,0.004416825,0.211303442,0.377808307,0.217653466,0.31098722,0.359322988,0.397302988,0.252171443,0.198462053,0.139440191,0.083422159,-0.34122746,-0.369572556,-0.411501391,-0.434717673,-0.091050329,0.013185751,0.164032027,0.223905546,-0.300045496,-0.332650866,-0.360580728,-0.38133784,-0.380565677,-0.3791869,0.154534202,-0.298662509,,,0.131673459,-0.292550853,0.249688217,-0.321753519,-0.528843928,0.340792053,-0.32530588,,,0.321589302,-0.322322822,0.39408057,-0.337036752,-0.468650844,-0.500574771,0.266742607,,0.247413076,0.332781572,-0.313209296,,-0.308925855,-0.329808776,0.777311512,-0.404037099,-0.406324547,-0.542710471,0.777311512,-0.341598567,0.034779593,-0.399799087,-0.38196553,0.224640443,-0.327941428,-0.342650903,-0.353566077,0.06380483,-0.092069868,-0.395140796,0.070822485,-0.105357634,0.477880787,0.122932078,-0.350593103,-0.404157484,0.041774766,0.777311512,-0.140517034,0.035724806,0.016604632,-0.140483314,-0.140400704,-0.43881073,-0.2231323,0.17100018,0.078970502
2013 Rural-urban Continuum Code,-0.473828927,0.081829342,-0.519939721,-0.066696977,-0.196688268,1,0.92368633,0.935917993,0.778235382,-0.335055296,-0.357495992,-0.363928383,-0.372623557,-0.302017777,-0.322538802,-0.296674721,-0.330767104,-0.354555925,-0.366393575,-0.359226837,-0.35264273,-0.28735331,-0.288996548,-0.263701943,-0.247511075,-0.244190811,-0.243565968,-0.276402624,-0.345945763,-0.140913569,-0.200356121,-0.191567233,-0.06268185,0.150317255,0.323372681,0.285368981,0.386428761,0.437154073,0.488993927,0.316431983,0.250276525,0.18730827,0.117179066,-0.414696892,-0.427194319,-0.460508456,-0.481252721,-0.111709278,0.035153414,0.226904152,0.280629492,-0.260337152,-0.29149304,-0.319046397,-0.341182423,-0.346093284,-0.34830453,0.110453149,-0.27707664,,,0.093751957,-0.270388683,0.176465559,-0.295992174,-0.486516669,0.334538022,-0.308517985,,,0.320401862,-0.305217994,0.363607124,-0.31460855,-0.40166976,-0.445564366,0.244154796,,0.230684816,0.282550498,-0.294189077,,-0.289482057,-0.305781678,0.935917993,-0.359970565,-0.362118893,-0.813913166,0.935917993,-0.301932593,0.061497914,-0.361565964,-0.356951078,0.154511476,-0.326964213,-0.281259661,-0.298756585,0.011854012,-0.120476946,-0.356704208,0.015534521,-0.153053417,0.555646702,0.130930894,-0.311382716,-0.485163418,0.06089844,0.935917993,-0.194905567,0.041450107,0.016445221,-0.192885478,-0.115076307,-0.473828927,-0.20834241,0.121134163,0.062285155
2023 Rural-urban Continuum Code,-0.456989657,0.072197162,-0.508302964,-0.063671775,-0.185211426,0.935917993,0.873834737,1,0.777311512,-0.324067214,-0.345572952,-0.351780396,-0.360861797,-0.291762715,-0.312235508,-0.286808544,-0.320541081,-0.343714443,-0.355727218,-0.348989099,-0.343760876,-0.277117229,-0.27951022,-0.255562538,-0.24008293,-0.237317784,-0.23682979,-0.270567837,-0.338383842,-0.151262061,-0.209643717,-0.191789482,-0.068802538,0.128672917,0.305453622,0.272312185,0.363617745,0.424778937,0.473738821,0.315004689,0.259628724,0.193424131,0.126127189,-0.403338754,-0.415328145,-0.445617378,-0.467529286,-0.116142186,0.022566377,0.229941687,0.28682194,-0.252077183,-0.28298906,-0.30997931,-0.331676051,-0.337080981,-0.339945681,0.12079624,-0.270685757,,,0.105139683,-0.264344195,0.175820911,-0.288980587,-0.468564173,0.346811566,-0.301396979,,,0.334775656,-0.298255511,0.363620416,-0.307212145,-0.386324469,-0.42886402,0.255846502,,0.244099452,0.282297772,-0.287401509,,-0.282936123,-0.298567919,1,-0.349275782,-0.351324787,-0.865992193,1,-0.293737055,0.044277574,-0.352080041,-0.348810234,0.147852709,-0.320882118,-0.271109904,-0.288171427,0.009908388,-0.117846658,-0.347177983,0.010791172,-0.153549894,0.543992919,0.117849744,-0.322955071,-0.476623291,0.043502101,1,-0.160577684,0.014816798,-0.009335098,-0.154272219,-0.110397376,-0.456989657,-0.206117917,0.092751087,0.061857457
Rural_Urban_Continuum_Code_2023_x,-0.456989657,0.072197162,-0.508302964,-0.063671775,-0.185211426,0.935917993,0.873834737,1,0.777311512,-0.324067214,-0.345572952,-0.351780396,-0.360861797,-0.291762715,-0.312235508,-0.286808544,-0.320541081,-0.343714443,-0.355727218,-0.348989099,-0.343760876,-0.277117229,-0.27951022,-0.255562538,-0.24008293,-0.237317784,-0.23682979,-0.270567837,-0.338383842,-0.151262061,-0.209643717,-0.191789482,-0.068802538,0.128672917,0.305453622,0.272312185,0.363617745,0.424778937,0.473738821,0.315004689,0.259628724,0.193424131,0.126127189,-0.403338754,-0.415328145,-0.445617378,-0.467529286,-0.116142186,0.022566377,0.229941687,0.28682194,-0.252077183,-0.28298906,-0.30997931,-0.331676051,-0.337080981,-0.339945681,0.12079624,-0.270685757,,,0.105139683,-0.264344195,0.175820911,-0.288980587,-0.468564173,0.346811566,-0.301396979,,,0.334775656,-0.298255511,0.363620416,-0.307212145,-0.386324469,-0.42886402,0.255846502,,0.244099452,0.282297772,-0.287401509,,-0.282936123,-0.298567919,1,-0.349275782,-0.351324787,-0.865992193,1,-0.293737055,0.044277574,-0.352080041,-0.348810234,0.147852709,-0.320882118,-0.271109904,-0.288171427,0.009908388,-0.117846658,-0.347177983,0.010791172,-0.153549894,0.543992919,0.117849744,-0.322955071,-0.476623291,0.043502101,1,-0.160577684,0.014816798,-0.009335098,-0.154272219,-0.110397376,-0.456989657,-0.206117917,0.092751087,0.061857457
Rural_Urban_Continuum_Code_2023_y,-0.456989657,0.072197162,-0.508302964,-0.063671775,-0.185211426,0.935917993,0.873834737,1,0.777311512,-0.324067214,-0.345572952,-0.351780396,-0.360861797,-0.291762715,-0.312235508,-0.286808544,-0.320541081,-0.343714443,-0.355727218,-0.348989099,-0.343760876,-0.277117229,-0.27951022,-0.255562538,-0.24008293,-0.237317784,-0.23682979,-0.270567837,-0.338383842,-0.151262061,-0.209643717,-0.191789482,-0.068802538,0.128672917,0.305453622,0.272312185,0.363617745,0.424778937,0.473738821,0.315004689,0.259628724,0.193424131,0.126127189,-0.403338754,-0.415328145,-0.445617378,-0.467529286,-0.116142186,0.022566377,0.229941687,0.28682194,-0.252077183,-0.28298906,-0.30997931,-0.331676051,-0.337080981,-0.339945681,0.12079624,-0.270685757,,,0.105139683,-0.264344195,0.175820911,-0.288980587,-0.468564173,0.346811566,-0.301396979,,,0.334775656,-0.298255511,0.363620416,-0.307212145,-0.386324469,-0.42886402,0.255846502,,0.244099452,0.282297772,-0.287401509,,-0.282936123,-0.298567919,1,-0.349275782,-0.351324787,-0.865992193,1,-0.293737055,0.044277574,-0.352080041,-0.348810234,0.147852709,-0.320882118,-0.271109904,-0.288171427,0.009908388,-0.117846658,-0.347177983,0.010791172,-0.153549894,0.543992919,0.117849744,-0.322955071,-0.476623291,0.043502101,1,-0.160577684,0.014816798,-0.009335098,-0.154272219,-0.110397376,-0.456989657,-0.206117917,0.092751087,0.061857457
Rural_Urban_Continuum_Code_2023,-0.456989657,0.072197162,-0.508302964,-0.063671775,-0.185211426,0.935917993,0.873834737,1,0.777311512,-0.324067214,-0.345572952,-0.351780396,-0.360861797,-0.291762715,-0.312235508,-0.286808544,-0.320541081,-0.343714443,-0.355727218,-0.348989099,-0.343760876,-0.277117229,-0.27951022,-0.255562538,-0.24008293,-0.237317784,-0.23682979,-0.270567837,-0.338383842,-0.151262061,-0.209643717,-0.191789482,-0.068802538,0.128672917,0.305453622,0.272312185,0.363617745,0.424778937,0.473738821,0.315004689,0.259628724,0.193424131,0.126127189,-0.403338754,-0.415328145,-0.445617378,-0.467529286,-0.116142186,0.022566377,0.229941687,0.28682194,-0.252077183,-0.28298906,-0.30997931,-0.331676051,-0.337080981,-0.339945681,0.12079624,-0.270685757,,,0.105139683,-0.264344195,0.175820911,-0.288980587,-0.468564173,0.346811566,-0.301396979,,,0.334775656,-0.298255511,0.363620416,-0.307212145,-0.386324469,-0.42886402,0.255846502,,0.244099452,0.282297772,-0.287401509,,-0.282936123,-0.298567919,1,-0.349275782,-0.351324787,-0.865992193,1,-0.293737055,0.044277574,-0.352080041,-0.348810234,0.147852709,-0.320882118,-0.271109904,-0.288171427,0.009908388,-0.117846658,-0.347177983,0.010791172,-0.153549894,0.543992919,0.117849744,-0.322955071,-0.476623291,0.043502101,1,-0.160577684,0.014816798,-0.009335098,-0.154272219,-0.110397376,-0.456989657,-0.206117917,0.092751087,0.061857457
R_DOMESTIC_MIG_2023,-0.296578604,0.151434883,-0.15395412,-0.088630828,-0.195896764,0.130930894,0.109802558,0.117849744,0.122932078,-0.35192237,-0.344455033,-0.325308152,-0.310606966,-0.356751125,-0.358301852,-0.357693889,-0.359615668,-0.351886759,-0.33278869,-0.303765727,-0.27544652,-0.356634192,-0.335210534,-0.301161199,-0.279547846,-0.262236081,-0.252462014,-0.352034575,-0.349679772,-0.234769945,-0.199967687,-0.094371894,0.093176019,0.203806038,0.301268765,0.288306556,0.311248231,0.269468288,0.25268758,0.184400132,0.036708507,-0.021848373,-0.094991027,-0.342087021,-0.291629756,-0.260464296,-0.245675743,-0.217715566,0.045422245,0.348197928,0.276893036,-0.308689922,-0.319957294,-0.317394718,-0.306229386,-0.27783549,-0.25024064,-0.196571572,-0.275632003,,,-0.20409506,-0.270751729,-0.258500096,-0.294731736,-0.104380234,-0.08619995,-0.292118944,,,-0.098545603,-0.2896243,-0.162161458,-0.303626057,-0.052602877,-0.078577043,-0.134870959,,-0.144828169,-0.207615626,-0.284697762,,-0.281205932,-0.299444422,0.117849744,-0.28786453,-0.288260019,-0.105497676,0.117849744,-0.27032424,-0.141955287,-0.291479943,-0.269838592,0.536972462,-0.342198511,-0.311010441,-0.273887276,0.510117565,0.393882944,-0.28006363,0.080856423,-0.238494292,0.251635127,1,-0.452658296,-0.303538621,0.971809507,0.117849744,0.099308274,-0.264588212,-0.313870311,0.156632944,-0.140261187,-0.296578604,-0.197717464,0.102150888,0.104746476
2013 Urban Influence Code,-0.397028943,0.048557041,-0.45121527,-0.054796138,-0.163207795,0.92368633,1,0.873834737,0.778362973,-0.279014777,-0.297601391,-0.303017515,-0.310227385,-0.251999456,-0.26899189,-0.248182277,-0.27712306,-0.297255255,-0.307075484,-0.300450165,-0.294700302,-0.239047585,-0.240267945,-0.218919954,-0.204893874,-0.202046302,-0.201405964,-0.258836963,-0.315717506,-0.140906845,-0.170025782,-0.155439985,-0.05071051,0.141133724,0.290656886,0.214600508,0.309209138,0.365086042,0.415606922,0.302111765,0.249162763,0.177896133,0.114680876,-0.372075979,-0.378976712,-0.403633299,-0.421426082,-0.124803195,-0.00440166,0.226517267,0.27168553,-0.217207848,-0.242943522,-0.265932498,-0.284678956,-0.289140049,-0.291050181,0.124713242,-0.228736283,,,0.109046874,-0.223041533,0.165626415,-0.2461818,-0.42087122,0.328463913,-0.255439458,,,0.315511256,-0.252587047,0.339864861,-0.262027832,-0.346100572,-0.384748961,0.246684891,,0.234214297,0.264411186,-0.24326525,,-0.239232856,-0.25451318,0.873834737,-0.300346921,-0.302172919,-0.818314621,0.873834737,-0.251190542,0.065390455,-0.301108372,-0.298451601,0.127605584,-0.278240421,-0.233377887,-0.246588862,0.009018933,-0.100229259,-0.297528462,0.010247571,-0.134085226,0.49737363,0.109802558,-0.280518942,-0.432466225,0.045941882,0.873834737,-0.157899861,0.010784119,-0.014570323,-0.150802321,-0.095030675,-0.397028943,-0.170903479,0.074454328,0.074122453
